ID,Game Session ID,Player ID,Event Type,Timestamp,Date Time,Latitude,Longitude,Altitude,Azimuth
5060,006dfa02-7f2f-4c7b-81a5-7367b682e916,Chris,LOCATION,1750609027398,2025-06-22 16:17:07.398,42.55715051,-87.95971885,173.42010498046875,169.58961
5061,006dfa02-7f2f-4c7b-81a5-7367b682e916,Chris,LOCATION,1750609029405,2025-06-22 16:17:09.405,42.55714818,-87.95971857,173.2596435546875,187.62253
5062,006dfa02-7f2f-4c7b-81a5-7367b682e916,Chris,LOCATION,1750609031403,2025-06-22 16:17:11.403,42.55714562,-87.9597224,173.2369384765625,182.73885
5063,006dfa02-7f2f-4c7b-81a5-7367b682e916,Chris,LOCATION,1750609033402,2025-06-22 16:17:13.402,42.55714606,-87.95972621,173.24700927734375,183.3665
5064,006dfa02-7f2f-4c7b-81a5-7367b682e916,Chris,LOCATION,1750609036340,2025-06-22 16:17:16.340,42.55714696,-87.9597311,173.28997802734375,177.70363
5065,006dfa02-7f2f-4c7b-81a5-7367b682e916,Chris,LOCATION,1750609038406,2025-06-22 16:17:18.406,42.55714684,-87.95973243,173.27130126953125,184.46361
5066,006dfa02-7f2f-4c7b-81a5-7367b682e916,Chris,LOCATION,1750609040404,2025-06-22 16:17:20.404,42.55714677,-87.95973301,173.3118896484375,179.658
5067,006dfa02-7f2f-4c7b-81a5-7367b682e916,Chris,LOCATION,1750609042403,2025-06-22 16:17:22.403,42.55714687,-87.95973343,173.36810302734375,264.78247
5068,006dfa02-7f2f-4c7b-81a5-7367b682e916,Chris,LOCATION,1750609044405,2025-06-22 16:17:24.405,42.55714668,-87.95973267,173.3692626953125,226.94556
5069,006dfa02-7f2f-4c7b-81a5-7367b682e916,Chris,LOCATION,1750609046400,2025-06-22 16:17:26.400,42.55714678,-87.95973262,173.6170654296875,227.37912
5070,006dfa02-7f2f-4c7b-81a5-7367b682e916,Chris,LOCATION,1750609048404,2025-06-22 16:17:28.404,42.55715099,-87.95972703,174.02294921875,161.99597
5071,006dfa02-7f2f-4c7b-81a5-7367b682e916,Chris,LOCATION,1750609050402,2025-06-22 16:17:30.402,42.55714972,-87.9597255,174.37799072265625,161.13025
5072,006dfa02-7f2f-4c7b-81a5-7367b682e916,Chris,LOCATION,1750609052405,2025-06-22 16:17:32.405,42.55714753,-87.95972751,174.3818359375,160.77219
5073,006dfa02-7f2f-4c7b-81a5-7367b682e916,Chris,LOCATION,1750609054408,2025-06-22 16:17:34.408,42.55714603,-87.95973012,174.39556884765625,166.61009
5074,006dfa02-7f2f-4c7b-81a5-7367b682e916,Chris,LOCATION,1750609056407,2025-06-22 16:17:36.407,42.55714422,-87.95973347,174.39031982421875,150.91336
5075,006dfa02-7f2f-4c7b-81a5-7367b682e916,Chris,LOCATION,1750609058409,2025-06-22 16:17:38.409,42.55714283,-87.95973578,174.548828125,158.82518
5076,006dfa02-7f2f-4c7b-81a5-7367b682e916,Chris,LOCATION,1750609060402,2025-06-22 16:17:40.402,42.55714216,-87.95973628,174.5750732421875,162.0964
5077,006dfa02-7f2f-4c7b-81a5-7367b682e916,Chris,LOCATION,1750609062406,2025-06-22 16:17:42.406,42.55714195,-87.95973635,174.58880615234375,164.75412
5078,006dfa02-7f2f-4c7b-81a5-7367b682e916,Chris,LOCATION,1750609064408,2025-06-22 16:17:44.408,42.55714187,-87.9597364,174.591064453125,157.67946
5079,006dfa02-7f2f-4c7b-81a5-7367b682e916,Chris,LOCATION,1750609066408,2025-06-22 16:17:46.408,42.5571418,-87.95973649,174.59423828125,159.69948
5080,006dfa02-7f2f-4c7b-81a5-7367b682e916,Chris,LOCATION,1750609068406,2025-06-22 16:17:48.406,42.55714175,-87.95973659,174.59625244140625,155.51555
5081,006dfa02-7f2f-4c7b-81a5-7367b682e916,Chris,LOCATION,1750609070405,2025-06-22 16:17:50.405,42.5571417,-87.95973667,174.59478759765625,153.80888
5082,006dfa02-7f2f-4c7b-81a5-7367b682e916,Chris,LOCATION,1750609072404,2025-06-22 16:17:52.404,42.55714161,-87.95973684,174.594482421875,162.27913
